id,listing_url,name,summary,description,host_id,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,street,neighbourhood,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
304958,https://www.airbnb.com/rooms/304958,,,,1662,2008,,0.8,,,,,,Westerpark,Amsterdam,North Holland,1053,,52.37302064,4.868460923,,Apartment,Entire home/apt,4,2,2,2,Real Bed,,130,,,,15,4,10,4,,,11,9/7/2008,6/9/2015,98,10,10,9,10,10,10,,
2818,https://www.airbnb.com/rooms/2818,,,,3159,2008,,1,,,,,,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,,,52.36575451,4.941419235,,Apartment,Private room,2,1,1,2,Real Bed,,59,,,,150,1,10,3,,,108,1/10/2008,11/7/2015,97,10,10,10,10,9,10,,
103026,https://www.airbnb.com/rooms/103026,,,,3718,2008,,1,,,,,,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1053,,52.36938767,4.866972319,,Apartment,Entire home/apt,4,1,1,1,Real Bed,,95,,,"1,500.00",85,2,25,3,,,15,5/9/2008,23/08/2015,92,9,9,10,10,9,9,,
550017,https://www.airbnb.com/rooms/550017,,,,4716,2008,,1,,,,,,Centrum-Oost,Amsterdam,North Holland,1017,,52.36190508,4.888050037,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,100,,,,35,1,10,2,,,20,13/02/2008,28/09/2015,97,10,10,10,10,10,10,,
4728389,https://www.airbnb.com/rooms/4728389,,,,5271,2008,,0.89,,,,,,Centrum-West,Amsterdam,Noord-Holland,1016 AM,,52.37153345,4.887057291,,Apartment,Entire home/apt,6,1,2,2,Real Bed,,250,,,,12,2,25,2,,,1,27/09/2008,10/9/2015,100,8,10,8,10,10,6,,
5500954,https://www.airbnb.com/rooms/5500954,,,,5271,2008,,0.9,,,,,,Centrum-West,Amsterdam,NH,1016 AM,,52.3713592,4.888072287,,Apartment,Private room,4,1,1,1,Real Bed,,140,,,,,2,25,2,,,0,13/07/2008,23/09/2015,,,,,,,,,
5181918,https://www.airbnb.com/rooms/5181918,,,,5271,2008,,0.89,,,,,,Centrum-West,Amsterdam,Noord-Holland,1016 AM,,52.3704458,4.889069478,,Apartment,Private room,2,1,1,1,Futon,,115,,,350,80,1,0,1,,,4,27/05/2008,23/07/2015,95,9,9,9,10,10,9,,
2774924,https://www.airbnb.com/rooms/2774924,,,,5988,2009,,1,,,,,,Zuid,Amsterdam,North Holland,1071 VV,,52.35564811,4.885834819,,House,Private room,2,1,1,1,Real Bed,,80,,,200,,1,0,3,,,33,14/08/2009,27/09/2015,95,9,10,10,10,10,9,,
23651,https://www.airbnb.com/rooms/23651,,,,9616,2009,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,,52.34591098,4.891982605,,Apartment,Private room,3,1,1,1,Real Bed,,80,,,,10,2,15,6,,,36,3/8/2009,22/09/2015,96,9,10,10,10,9,9,,
738245,https://www.airbnb.com/rooms/738245,,,,14589,2009,,N/A,,,,,,Centrum-West,Amsterdam,North Holland,1015,,52.37935439,4.883276386,,House,Entire home/apt,2,1,1,1,Real Bed,,90,,,500,25,1,0,3,,,8,12/1/2009,4/8/2015,93,10,9,9,9,10,9,,
